Exercise,Set,Rep,Weight,Metric,Set RPE,Tags,Workout Start Time,Rest Time,Avg Velocity (m/s),Range of Motion (mm),Peak Velocity (m/s),Peak Velocity Location (%),Duration of rep (sec)
banded bench,1,1,195,lbs,6,,"5/17/2022, 7:21:04 AM",0:00:00,0.32,219,0.49,70,0.689
banded bench,1,2,195,lbs,6,,"5/17/2022, 7:21:04 AM",0:00:00,0.3,196,0.45,64,0.647
banded bench,1,3,195,lbs,6,,"5/17/2022, 7:21:04 AM",0:00:00,0.26,203,0.47,73,0.792
banded bench,1,4,195,lbs,6,,"5/17/2022, 7:21:04 AM",0:00:00,0.26,187,0.58,94,0.736
banded bench,1,5,195,lbs,6,,"5/17/2022, 7:21:04 AM",0:00:00,0.19,218,0.38,44,1.14
banded bench,2,1,205,lbs,7,,"5/17/2022, 7:21:04 AM",0:04:08,0.35,330,0.53,108,0.931
banded bench,2,2,205,lbs,7,,"5/17/2022, 7:21:04 AM",0:04:08,0.31,335,0.54,264,1.089
banded bench,2,3,205,lbs,7,,"5/17/2022, 7:21:04 AM",0:04:08,0.35,311,0.47,73,0.879
banded bench,2,4,205,lbs,7,,"5/17/2022, 7:21:04 AM",0:04:08,0.31,286,0.43,67,0.911
banded bench,2,5,205,lbs,7,,"5/17/2022, 7:21:04 AM",0:04:08,0.31,302,0.47,61,0.979
banded bench,3,1,215,lbs,8,,"5/17/2022, 7:21:04 AM",0:06:58,0.38,288,0.51,74,0.765
banded bench,3,2,215,lbs,8,,"5/17/2022, 7:21:04 AM",0:06:58,0.27,281,0.44,69,1.058
banded bench,3,3,215,lbs,8,,"5/17/2022, 7:21:04 AM",0:06:58,0.34,287,0.43,56,0.85
banded bench,3,4,215,lbs,8,,"5/17/2022, 7:21:04 AM",0:06:58,0.26,277,0.35,60,1.065
banded bench,3,5,215,lbs,8,,"5/17/2022, 7:21:04 AM",0:06:58,0.23,255,0.4,59,1.131
banded bench,4,1,215,lbs,8,,"5/17/2022, 7:21:04 AM",0:03:37,0.36,322,0.47,78,0.883
banded bench,4,2,215,lbs,8,,"5/17/2022, 7:21:04 AM",0:03:37,0.28,297,0.49,91,1.059
banded bench,4,3,215,lbs,8,,"5/17/2022, 7:21:04 AM",0:03:37,0.24,305,0.39,60,1.263
banded bench,4,4,215,lbs,8,,"5/17/2022, 7:21:04 AM",0:03:37,0.19,336,0.38,49,1.762
banded bench,4,5,215,lbs,8,,"5/17/2022, 7:21:04 AM",0:03:37,0.26,307,0.56,88,1.181
main bench,1,1,150,lbs,< 5.5,,"5/19/2022, 7:18:09 AM",0:00:00,0.48,335,0.73,244,0.695
main bench,1,2,150,lbs,< 5.5,,"5/19/2022, 7:18:09 AM",0:00:00,0.52,355,0.85,251,0.68
main bench,1,3,150,lbs,< 5.5,,"5/19/2022, 7:18:09 AM",0:00:00,0.54,379,0.77,310,0.702
main bench,2,1,170,lbs,,,"5/19/2022, 7:18:09 AM",0:03:26,0.32,236,0.54,202,0.728
main bench,2,2,170,lbs,,,"5/19/2022, 7:18:09 AM",0:03:26,0.47,345,0.61,278,0.741
main bench,3,1,195,lbs,7,,"5/19/2022, 7:18:09 AM",0:05:57,0.34,304,0.49,254,0.905
main bench,3,2,195,lbs,7,,"5/19/2022, 7:18:09 AM",0:05:57,0.37,314,0.51,257,0.857
main bench,3,3,195,lbs,7,,"5/19/2022, 7:18:09 AM",0:05:57,0.33,306,0.46,257,0.944
main bench,3,4,195,lbs,7,,"5/19/2022, 7:18:09 AM",0:05:57,0.31,319,0.41,274,1.021
main bench,3,5,195,lbs,7,,"5/19/2022, 7:18:09 AM",0:05:57,0.28,315,0.36,60,1.141
main bench,4,1,205,lbs,8,,"5/19/2022, 7:18:09 AM",0:06:12,0.3,344,0.4,301,1.152
main bench,4,2,205,lbs,8,,"5/19/2022, 7:18:09 AM",0:06:12,0.26,296,0.34,93,1.135
main bench,4,3,205,lbs,8,,"5/19/2022, 7:18:09 AM",0:06:12,0.28,334,0.37,299,1.188
main bench,4,4,205,lbs,8,,"5/19/2022, 7:18:09 AM",0:06:12,0.27,360,0.35,301,1.348
main bench,4,5,205,lbs,8,,"5/19/2022, 7:18:09 AM",0:06:12,0.23,315,0.29,218,1.351
main bench,5,1,215,lbs,8.5,,"5/19/2022, 7:18:09 AM",0:06:12,0.29,308,0.45,258,1.062
main bench,5,2,215,lbs,8.5,,"5/19/2022, 7:18:09 AM",0:06:12,0.24,315,0.36,284,1.293
main bench,5,3,215,lbs,8.5,,"5/19/2022, 7:18:09 AM",0:06:12,0.26,324,0.31,225,1.25
main bench,5,4,215,lbs,8.5,,"5/19/2022, 7:18:09 AM",0:06:12,0.25,340,0.33,238,1.35
main bench,5,5,215,lbs,8.5,,"5/19/2022, 7:18:09 AM",0:06:12,0.19,306,0.24,51,1.607
main bench,1,1,155,lbs,< 5.5,,"5/21/2022, 12:11:49 PM",0:00:00,0.52,334,0.83,229,0.641
main bench,1,2,155,lbs,< 5.5,,"5/21/2022, 12:11:49 PM",0:00:00,0.55,354,0.82,256,0.649
main bench,1,3,155,lbs,< 5.5,,"5/21/2022, 12:11:49 PM",0:00:00,0.32,265,0.54,209,0.838
main bench,2,1,175,lbs,< 5.5,warmup,"5/21/2022, 12:11:49 PM",0:02:17,0.49,343,0.69,263,0.698
main bench,2,2,175,lbs,< 5.5,warmup,"5/21/2022, 12:11:49 PM",0:02:17,0.5,397,0.77,315,0.793
main bench,3,1,215,lbs,8.5,,"5/21/2022, 12:11:49 PM",0:03:34,0.31,331,0.41,279,1.067
main bench,3,2,215,lbs,8.5,,"5/21/2022, 12:11:49 PM",0:03:34,0.33,358,0.43,300,1.077
main bench,3,3,215,lbs,8.5,,"5/21/2022, 12:11:49 PM",0:03:34,0.29,345,0.34,58,1.201
main bench,3,4,215,lbs,8.5,,"5/21/2022, 12:11:49 PM",0:03:34,0.25,325,0.3,276,1.293
main bench,3,5,215,lbs,8.5,,"5/21/2022, 12:11:49 PM",0:03:34,0.23,348,0.33,64,1.509
main bench,4,1,225,lbs,9,,"5/21/2022, 12:11:49 PM",0:06:14,0.23,360,0.34,242,1.596
main bench,4,2,225,lbs,9,,"5/21/2022, 12:11:49 PM",0:06:14,0.22,400,0.41,314,1.782
main bench,4,3,225,lbs,9,,"5/21/2022, 12:11:49 PM",0:06:14,0.23,334,0.28,304,1.456
main bench,4,4,225,lbs,9,,"5/21/2022, 12:11:49 PM",0:06:14,0.21,357,0.34,54,1.707
main bench,5,1,225,lbs,9,,"5/21/2022, 12:11:49 PM",0:06:13,0.3,375,0.44,320,1.23
main bench,5,2,225,lbs,9,,"5/21/2022, 12:11:49 PM",0:06:13,0.32,382,0.48,343,1.181
main bench,5,3,225,lbs,9,,"5/21/2022, 12:11:49 PM",0:06:13,0.25,369,0.33,280,1.461
main bench,5,4,225,lbs,9,,"5/21/2022, 12:11:49 PM",0:06:13,0.21,342,0.32,66,1.649
main bench,5,5,225,lbs,9,,"5/21/2022, 12:11:49 PM",0:06:13,0.21,374,0.28,324,1.805
main bench,1,1,155,lbs,,warmup,"5/24/2022, 7:06:03 AM",0:00:00,0.57,350,0.84,252,0.616
main bench,1,2,155,lbs,,warmup,"5/24/2022, 7:06:03 AM",0:00:00,0.56,372,0.83,278,0.668
main bench,1,3,155,lbs,,warmup,"5/24/2022, 7:06:03 AM",0:00:00,0.49,378,0.81,290,0.772
main bench,2,1,175,lbs,,warmup,"5/24/2022, 7:06:03 AM",0:02:22,0.46,359,0.65,216,0.789
main bench,2,2,175,lbs,,warmup,"5/24/2022, 7:06:03 AM",0:02:22,0.4,357,0.51,128,0.904
main bench,3,1,200,lbs,6.5,,"5/24/2022, 7:06:03 AM",0:04:07,0.36,328,0.53,267,0.905
main bench,3,2,200,lbs,6.5,,"5/24/2022, 7:06:03 AM",0:04:07,0.3,337,0.43,291,1.128
main bench,3,3,200,lbs,6.5,,"5/24/2022, 7:06:03 AM",0:04:07,0.34,352,0.52,300,1.046
main bench,3,4,200,lbs,6.5,,"5/24/2022, 7:06:03 AM",0:04:07,0.34,342,0.41,65,1.016
main bench,3,5,200,lbs,6.5,,"5/24/2022, 7:06:03 AM",0:04:07,0.29,333,0.39,66,1.127
main bench,4,1,210,lbs,,,"5/24/2022, 7:06:03 AM",0:04:50,0.37,352,0.58,291,0.942
main bench,4,2,210,lbs,,,"5/24/2022, 7:06:03 AM",0:04:50,0.33,361,0.4,65,1.08
main bench,4,3,210,lbs,,,"5/24/2022, 7:06:03 AM",0:04:50,0.34,351,0.46,299,1.028
main bench,4,4,210,lbs,,,"5/24/2022, 7:06:03 AM",0:04:50,0.3,337,0.45,286,1.13
main bench,4,5,210,lbs,,,"5/24/2022, 7:06:03 AM",0:04:50,0.23,325,0.36,281,1.434
main bench,5,1,220,lbs,8.5,,"5/24/2022, 7:06:03 AM",0:05:27,0.33,362,0.46,310,1.096
main bench,5,2,220,lbs,8.5,,"5/24/2022, 7:06:03 AM",0:05:27,0.28,337,0.36,289,1.203
main bench,5,3,220,lbs,8.5,,"5/24/2022, 7:06:03 AM",0:05:27,0.23,315,0.32,266,1.355
main bench,5,4,220,lbs,8.5,,"5/24/2022, 7:06:03 AM",0:05:27,0.18,320,0.26,49,1.762
main bench,5,5,220,lbs,8.5,,"5/24/2022, 7:06:03 AM",0:05:27,0.15,308,0.24,41,2.047
banded bench,1,1,155,lbs,,warmup,"5/25/2022, 7:19:40 AM",0:00:00,0.62,362,0.85,160,0.583
banded bench,1,2,155,lbs,,warmup,"5/25/2022, 7:19:40 AM",0:00:00,0.62,376,0.8,284,0.606
banded bench,1,3,155,lbs,,warmup,"5/25/2022, 7:19:40 AM",0:00:00,0.57,404,0.79,143,0.705
banded bench,2,1,175,lbs,,,"5/25/2022, 7:19:40 AM",0:03:11,0.4,365,0.6,112,0.902
banded bench,2,2,175,lbs,,,"5/25/2022, 7:19:40 AM",0:03:11,0.53,379,0.73,138,0.71
banded bench,3,1,200,lbs,7.5,,"5/25/2022, 7:19:40 AM",0:06:21,0.44,347,0.56,88,0.794
banded bench,3,2,200,lbs,7.5,,"5/25/2022, 7:19:40 AM",0:06:21,0.38,349,0.49,84,0.913
banded bench,3,3,200,lbs,7.5,,"5/25/2022, 7:19:40 AM",0:06:21,0.36,372,0.51,83,1.041
banded bench,3,4,200,lbs,7.5,,"5/25/2022, 7:19:40 AM",0:06:21,0.33,337,0.53,81,1.027
banded bench,3,5,200,lbs,7.5,,"5/25/2022, 7:19:40 AM",0:06:21,0.32,360,0.5,83,1.115
banded bench,4,1,210,lbs,8.5,,"5/25/2022, 7:19:40 AM",0:07:19,0.37,345,0.48,84,0.942
banded bench,4,2,210,lbs,8.5,,"5/25/2022, 7:19:40 AM",0:07:19,0.3,350,0.49,83,1.144
banded bench,4,3,210,lbs,8.5,,"5/25/2022, 7:19:40 AM",0:07:19,0.32,346,0.46,305,1.072
banded bench,4,4,210,lbs,8.5,,"5/25/2022, 7:19:40 AM",0:07:19,0.22,361,0.36,45,1.652
banded bench,4,5,210,lbs,8.5,,"5/25/2022, 7:19:40 AM",0:07:19,0.21,352,0.43,73,1.668
banded bench,5,1,220,lbs,9.5,,"5/25/2022, 7:19:40 AM",0:06:14,0.34,359,0.47,81,1.061
banded bench,5,2,220,lbs,9.5,,"5/25/2022, 7:19:40 AM",0:06:14,0.27,374,0.48,70,1.406
banded bench,5,3,220,lbs,9.5,,"5/25/2022, 7:19:40 AM",0:06:14,0.26,362,0.5,85,1.399
banded bench,5,4,220,lbs,9.5,,"5/25/2022, 7:19:40 AM",0:06:14,0.21,359,0.35,61,1.688
banded bench,5,5,220,lbs,9.5,,"5/25/2022, 7:19:40 AM",0:06:14,0.18,221,0.41,53,1.252
banded squat,1,1,210,lbs,,warmup,"5/29/2022, 1:19:31 PM",0:00:00,0.53,543,0.83,403,1.03
banded squat,1,2,210,lbs,,warmup,"5/29/2022, 1:19:31 PM",0:00:00,0.66,606,1.33,483,0.923
banded squat,2,1,250,lbs,8,,"5/29/2022, 1:19:31 PM",0:06:11,0.55,597,1.09,480,1.093
banded squat,2,2,250,lbs,8,,"5/29/2022, 1:19:31 PM",0:06:11,0.48,590,0.97,500,1.229
banded squat,2,3,250,lbs,8,,"5/29/2022, 1:19:31 PM",0:06:11,0.47,567,0.82,480,1.22
banded squat,2,4,250,lbs,8,,"5/29/2022, 1:19:31 PM",0:06:11,0.46,632,1.16,540,1.377
banded squat,2,5,250,lbs,8,,"5/29/2022, 1:19:31 PM",0:06:11,0.46,596,1.18,487,1.289
squat,1,1,265,lbs,8,,"5/29/2022, 1:19:31 PM",0:08:04,0.45,601,0.83,492,1.334
squat,1,2,265,lbs,8,,"5/29/2022, 1:19:31 PM",0:08:04,0.47,601,0.95,486,1.286
squat,1,3,265,lbs,8,,"5/29/2022, 1:19:31 PM",0:08:04,0.45,616,0.95,517,1.356
squat,1,4,265,lbs,8,,"5/29/2022, 1:19:31 PM",0:08:04,0.38,591,0.92,488,1.572
squat,1,5,265,lbs,8,,"5/29/2022, 1:19:31 PM",0:08:04,0.36,556,0.9,471,1.546
squat,2,1,275,lbs,8.5,,"5/29/2022, 1:19:31 PM",0:07:03,0.49,618,0.99,483,1.258
squat,2,2,275,lbs,8.5,,"5/29/2022, 1:19:31 PM",0:07:03,0.46,597,1.09,512,1.302
squat,2,3,275,lbs,8.5,,"5/29/2022, 1:19:31 PM",0:07:03,0.41,597,0.99,525,1.471
squat,2,4,275,lbs,8.5,,"5/29/2022, 1:19:31 PM",0:07:03,0.42,646,1.06,550,1.526
squat,2,5,275,lbs,8.5,,"5/29/2022, 1:19:31 PM",0:07:03,0.37,611,0.79,528,1.632
main bench,1,1,155,lbs,,warmup,"5/30/2022, 11:31:17 AM",0:00:00,0.63,395,0.98,296,0.624
main bench,1,2,155,lbs,,warmup,"5/30/2022, 11:31:17 AM",0:00:00,0.66,436,0.95,315,0.66
main bench,1,3,155,lbs,,warmup,"5/30/2022, 11:31:17 AM",0:00:00,0.54,447,0.95,340,0.826
main bench,2,1,175,lbs,,warmup,"5/30/2022, 11:31:17 AM",0:03:16,0.53,379,0.75,279,0.712
main bench,2,2,175,lbs,,warmup,"5/30/2022, 11:31:17 AM",0:03:16,0.49,399,0.68,304,0.806
main bench,3,1,200,lbs,7,,"5/30/2022, 11:31:17 AM",0:05:03,0.41,360,0.56,291,0.871
main bench,3,2,200,lbs,7,,"5/30/2022, 11:31:17 AM",0:05:03,0.41,375,0.61,312,0.908
main bench,3,3,200,lbs,7,,"5/30/2022, 11:31:17 AM",0:05:03,0.35,375,0.47,315,1.067
main bench,3,4,200,lbs,7,,"5/30/2022, 11:31:17 AM",0:05:03,0.28,333,0.46,274,1.183
main bench,3,5,200,lbs,7,,"5/30/2022, 11:31:17 AM",0:05:03,0.33,382,0.4,88,1.167
main bench,4,1,210,lbs,8,,"5/30/2022, 11:31:17 AM",0:03:55,0.38,369,0.49,211,0.964
main bench,4,2,210,lbs,8,,"5/30/2022, 11:31:17 AM",0:03:55,0.32,367,0.42,296,1.139
main bench,4,3,210,lbs,8,,"5/30/2022, 11:31:17 AM",0:03:55,0.26,350,0.34,97,1.323
main bench,4,4,210,lbs,8,,"5/30/2022, 11:31:17 AM",0:03:55,0.27,349,0.37,311,1.306
main bench,4,5,210,lbs,8,,"5/30/2022, 11:31:17 AM",0:03:55,0.25,349,0.33,77,1.411
main bench,5,1,225,lbs,9,,"5/30/2022, 11:31:17 AM",0:07:43,0.37,380,0.54,332,1.017
main bench,5,2,225,lbs,9,,"5/30/2022, 11:31:17 AM",0:07:43,0.3,384,0.39,257,1.263
main bench,5,3,225,lbs,9,,"5/30/2022, 11:31:17 AM",0:07:43,0.3,385,0.37,74,1.263
main bench,5,4,225,lbs,9,,"5/30/2022, 11:31:17 AM",0:07:43,0.23,354,0.3,49,1.531
main bench,5,5,225,lbs,9,,"5/30/2022, 11:31:17 AM",0:07:43,0.19,374,0.27,44,1.993
main bench,6,1,230,lbs,9.5,,"5/30/2022, 11:31:17 AM",0:06:52,0.24,406,0.34,345,1.702
main bench,6,2,230,lbs,9.5,,"5/30/2022, 11:31:17 AM",0:06:52,0.21,385,0.32,300,1.79
main bench,6,3,230,lbs,9.5,,"5/30/2022, 11:31:17 AM",0:06:52,0.18,403,0.33,335,2.221
main bench,6,4,230,lbs,9.5,,"5/30/2022, 11:31:17 AM",0:06:52,0.14,333,0.25,306,2.291
deadlift,1,1,230,lbs,,warmup,"5/31/2022, 7:19:47 AM",0:00:00,0.25,562,0.56,479,2.254
deadlift,1,2,230,lbs,,warmup,"5/31/2022, 7:19:47 AM",0:00:00,0.21,538,0.42,414,2.537
deadlift,2,1,230,lbs,,warmup,"5/31/2022, 7:19:47 AM",0:00:41,0.21,525,0.46,378,2.442
deadlift,3,1,265,lbs,,warmup,"5/31/2022, 7:19:47 AM",0:03:50,0.18,503,0.39,389,2.777
deadlift,4,1,265,lbs,,warmup,"5/31/2022, 7:19:47 AM",0:01:52,0.23,547,0.47,409,2.395
banded bench,1,1,175,lbs,,warmup,"6/1/2022, 7:15:31 AM",0:00:00,0.48,345,0.62,97,0.725
banded bench,1,2,175,lbs,,warmup,"6/1/2022, 7:15:31 AM",0:00:00,0.57,384,0.77,110,0.674
banded bench,1,3,175,lbs,,warmup,"6/1/2022, 7:15:31 AM",0:00:00,0.54,374,0.72,116,0.692
banded bench,2,1,202,lbs,8,,"6/1/2022, 7:15:31 AM",0:04:27,0.38,349,0.6,108,0.917
banded bench,2,2,202,lbs,8,,"6/1/2022, 7:15:31 AM",0:04:27,0.4,370,0.54,77,0.926
banded bench,2,3,202,lbs,8,,"6/1/2022, 7:15:31 AM",0:04:27,0.31,365,0.57,81,1.185
banded bench,2,4,202,lbs,8,,"6/1/2022, 7:15:31 AM",0:04:27,0.27,379,0.58,93,1.383
banded bench,2,5,202,lbs,8,,"6/1/2022, 7:15:31 AM",0:04:27,0.24,373,0.46,64,1.541
banded bench,3,1,210,lbs,9,,"6/1/2022, 7:15:31 AM",0:04:41,0.38,340,0.47,74,0.902
banded bench,3,2,210,lbs,9,,"6/1/2022, 7:15:31 AM",0:04:41,0.29,350,0.51,76,1.22
banded bench,3,3,210,lbs,9,,"6/1/2022, 7:15:31 AM",0:04:41,0.33,371,0.53,86,1.117
banded bench,3,4,210,lbs,9,,"6/1/2022, 7:15:31 AM",0:04:41,0.25,369,0.47,65,1.476
banded bench,3,5,210,lbs,9,,"6/1/2022, 7:15:31 AM",0:04:41,0.22,342,0.44,62,1.542
main bench,1,1,225,lbs,9.5,,"6/1/2022, 7:15:31 AM",0:05:46,0.34,411,0.54,355,1.227
main bench,1,2,225,lbs,9.5,,"6/1/2022, 7:15:31 AM",0:05:46,0.3,359,0.41,312,1.212
main bench,1,3,225,lbs,9.5,,"6/1/2022, 7:15:31 AM",0:05:46,0.24,350,0.4,300,1.445
main bench,1,4,225,lbs,9.5,,"6/1/2022, 7:15:31 AM",0:05:46,0.21,328,0.32,290,1.537
main bench,1,5,225,lbs,9.5,,"6/1/2022, 7:15:31 AM",0:05:46,0.16,325,0.25,296,1.985
squat,1,1,195,lbs,,warmup,"6/2/2022, 7:13:55 AM",0:00:00,0.66,618,1.22,482,0.936
squat,1,2,195,lbs,,warmup,"6/2/2022, 7:13:55 AM",0:00:00,0.65,654,1.23,506,1.013
squat,1,3,195,lbs,,warmup,"6/2/2022, 7:13:55 AM",0:00:00,0.59,646,1.14,513,1.09
squat,2,1,225,lbs,,warmup,"6/2/2022, 7:13:55 AM",0:03:29,0.54,606,0.96,517,1.119
squat,2,2,225,lbs,,warmup,"6/2/2022, 7:13:55 AM",0:03:29,0.57,654,1.21,520,1.145
squat,3,1,250,lbs,7,,"6/2/2022, 7:13:55 AM",0:05:32,0.53,587,1.15,469,1.114
squat,3,2,250,lbs,7,,"6/2/2022, 7:13:55 AM",0:05:32,0.51,616,1.1,517,1.205
squat,3,3,250,lbs,7,,"6/2/2022, 7:13:55 AM",0:05:32,0.48,595,1,489,1.245
squat,3,4,250,lbs,7,,"6/2/2022, 7:13:55 AM",0:05:32,0.5,666,1.1,561,1.328
squat,3,5,250,lbs,7,,"6/2/2022, 7:13:55 AM",0:05:32,0.42,659,0.95,552,1.554
squat,4,1,265,lbs,7.5,,"6/2/2022, 7:13:55 AM",0:06:43,0.42,533,0.81,439,1.257
squat,4,2,265,lbs,7.5,,"6/2/2022, 7:13:55 AM",0:06:43,0.44,619,0.88,519,1.393
squat,4,3,265,lbs,7.5,,"6/2/2022, 7:13:55 AM",0:06:43,0.4,621,0.99,517,1.561
squat,4,4,265,lbs,7.5,,"6/2/2022, 7:13:55 AM",0:06:43,0.46,655,1.07,542,1.423
squat,4,5,265,lbs,7.5,,"6/2/2022, 7:13:55 AM",0:06:43,0.41,633,0.92,531,1.547
squat,5,1,280,lbs,8,,"6/2/2022, 7:13:55 AM",0:07:06,0.4,596,0.88,495,1.488
squat,5,2,280,lbs,8,,"6/2/2022, 7:13:55 AM",0:07:06,0.36,616,0.74,514,1.702
squat,5,3,280,lbs,8,,"6/2/2022, 7:13:55 AM",0:07:06,0.41,609,0.9,521,1.498
squat,5,4,280,lbs,8,,"6/2/2022, 7:13:55 AM",0:07:06,0.36,619,0.66,466,1.693
squat,5,5,280,lbs,8,,"6/2/2022, 7:13:55 AM",0:07:06,0.38,667,0.84,558,1.767
main bench,1,1,160,lbs,,warmup,"6/4/2022, 12:46:05 PM",0:00:00,0.62,375,0.91,251,0.604
main bench,1,2,160,lbs,,warmup,"6/4/2022, 12:46:05 PM",0:00:00,0.64,396,0.97,312,0.622
main bench,1,3,160,lbs,,warmup,"6/4/2022, 12:46:05 PM",0:00:00,0.66,417,0.98,318,0.635
main bench,1,4,160,lbs,,warmup,"6/4/2022, 12:46:05 PM",0:00:00,0.64,408,0.97,323,0.633
main bench,1,5,160,lbs,,warmup,"6/4/2022, 12:46:05 PM",0:00:00,0.56,394,0.82,320,0.709
main bench,2,1,185,lbs,,warmup,"6/4/2022, 12:46:05 PM",0:04:51,0.47,357,0.69,281,0.768
main bench,2,2,185,lbs,,warmup,"6/4/2022, 12:46:05 PM",0:04:51,0.47,386,0.71,326,0.814
main bench,3,1,205,lbs,6,,"6/4/2022, 12:46:05 PM",0:08:08,0.38,352,0.53,295,0.924
main bench,3,2,205,lbs,6,,"6/4/2022, 12:46:05 PM",0:08:08,0.4,389,0.5,301,0.961
main bench,3,3,205,lbs,6,,"6/4/2022, 12:46:05 PM",0:08:08,0.42,363,0.57,310,0.853
main bench,3,4,205,lbs,6,,"6/4/2022, 12:46:05 PM",0:08:08,0.36,353,0.45,273,0.983
main bench,3,5,205,lbs,6,,"6/4/2022, 12:46:05 PM",0:08:08,0.34,352,0.44,305,1.04
banded bench,1,1,160,lbs,,warmup,"6/15/2022, 7:17:05 AM",0:00:00,0.6,380,0.87,255,0.631
banded bench,1,2,160,lbs,,warmup,"6/15/2022, 7:17:05 AM",0:00:00,0.6,365,0.83,142,0.603
banded bench,1,3,160,lbs,,warmup,"6/15/2022, 7:17:05 AM",0:00:00,0.68,394,0.86,265,0.58
banded bench,2,1,180,lbs,,warmup,"6/15/2022, 7:17:05 AM",0:02:23,0.52,365,0.73,204,0.708
banded bench,2,2,180,lbs,,warmup,"6/15/2022, 7:17:05 AM",0:02:23,0.53,370,0.7,154,0.699
banded bench,2,3,180,lbs,,warmup,"6/15/2022, 7:17:05 AM",0:02:23,0.36,395,0.73,113,1.09
banded bench,3,1,207,lbs,6.5,,"6/15/2022, 7:17:05 AM",0:05:44,0.39,345,0.5,103,0.881
banded bench,3,2,207,lbs,6.5,,"6/15/2022, 7:17:05 AM",0:05:44,0.41,348,0.55,93,0.849
banded bench,3,3,207,lbs,6.5,,"6/15/2022, 7:17:05 AM",0:05:44,0.4,351,0.49,263,0.883
banded bench,3,4,207,lbs,6.5,,"6/15/2022, 7:17:05 AM",0:05:44,0.38,355,0.49,69,0.946
banded bench,3,5,207,lbs,6.5,,"6/15/2022, 7:17:05 AM",0:05:44,0.32,332,0.44,89,1.045
banded bench,4,1,222,lbs,8,,"6/15/2022, 7:17:05 AM",0:05:44,0.34,315,0.49,93,0.929
banded bench,4,2,222,lbs,8,,"6/15/2022, 7:17:05 AM",0:05:44,0.24,310,0.35,266,1.298
banded bench,4,3,222,lbs,8,,"6/15/2022, 7:17:05 AM",0:05:44,0.27,365,0.43,71,1.35
banded bench,4,4,222,lbs,8,,"6/15/2022, 7:17:05 AM",0:05:44,0.29,359,0.42,75,1.224
banded bench,4,5,222,lbs,8,,"6/15/2022, 7:17:05 AM",0:05:44,0.22,358,0.41,62,1.63
banded bench,5,1,232,lbs,8,,"6/15/2022, 7:17:05 AM",0:05:34,0.32,331,0.43,78,1.028
banded bench,5,2,232,lbs,8,,"6/15/2022, 7:17:05 AM",0:05:34,0.35,352,0.47,69,1.014
banded bench,5,3,232,lbs,8,,"6/15/2022, 7:17:05 AM",0:05:34,0.28,349,0.41,76,1.245
banded bench,5,4,232,lbs,8,,"6/15/2022, 7:17:05 AM",0:05:34,0.25,339,0.36,59,1.35
banded bench,5,5,232,lbs,8,,"6/15/2022, 7:17:05 AM",0:05:34,0.2,348,0.34,61,1.776
banded bench,6,1,232,lbs,9,,"6/15/2022, 7:17:05 AM",0:05:26,0.32,365,0.46,298,1.155
banded bench,6,2,232,lbs,9,,"6/15/2022, 7:17:05 AM",0:05:26,0.31,389,0.44,84,1.271
banded bench,6,3,232,lbs,9,,"6/15/2022, 7:17:05 AM",0:05:26,0.24,350,0.39,65,1.449
banded bench,6,4,232,lbs,9,,"6/15/2022, 7:17:05 AM",0:05:26,0.2,340,0.34,63,1.736
banded bench,6,5,232,lbs,9,,"6/15/2022, 7:17:05 AM",0:05:26,0.17,363,0.35,54,2.066
main bench,1,1,165,lbs,,warmup,"6/19/2022, 2:13:33 PM",0:00:00,0.48,365,0.69,267,0.761
main bench,1,2,165,lbs,,warmup,"6/19/2022, 2:13:33 PM",0:00:00,0.59,410,0.82,310,0.699
main bench,1,3,165,lbs,,warmup,"6/19/2022, 2:13:33 PM",0:00:00,0.61,409,0.86,313,0.675
main bench,2,1,185,lbs,,warmup,"6/19/2022, 2:13:33 PM",0:02:53,0.54,386,0.8,302,0.721
main bench,2,2,185,lbs,,warmup,"6/19/2022, 2:13:33 PM",0:02:53,0.47,400,0.67,319,0.86
main bench,3,1,205,lbs,6,,"6/19/2022, 2:13:33 PM",0:04:16,0.48,399,0.68,314,0.837
main bench,3,2,205,lbs,6,,"6/19/2022, 2:13:33 PM",0:04:16,0.38,365,0.47,96,0.967
main bench,3,3,205,lbs,6,,"6/19/2022, 2:13:33 PM",0:04:16,0.42,399,0.54,340,0.951
main bench,3,4,205,lbs,6,,"6/19/2022, 2:13:33 PM",0:04:16,0.34,379,0.44,342,1.106
main bench,3,5,205,lbs,6,,"6/19/2022, 2:13:33 PM",0:04:16,0.33,355,0.41,93,1.073
main bench,4,1,225,lbs,8,,"6/19/2022, 2:13:33 PM",0:06:20,0.3,340,0.4,191,1.143
main bench,4,2,225,lbs,8,,"6/19/2022, 2:13:33 PM",0:06:20,0.31,363,0.37,98,1.161
main bench,4,3,225,lbs,8,,"6/19/2022, 2:13:33 PM",0:06:20,0.23,320,0.31,279,1.375
main bench,4,4,225,lbs,8,,"6/19/2022, 2:13:33 PM",0:06:20,0.25,344,0.3,245,1.374
main bench,4,5,225,lbs,8,,"6/19/2022, 2:13:33 PM",0:06:20,0.23,325,0.28,55,1.402
main bench,5,1,230,lbs,9,,"6/19/2022, 2:13:33 PM",0:06:52,0.26,347,0.39,274,1.326
main bench,5,2,230,lbs,9,,"6/19/2022, 2:13:33 PM",0:06:52,0.25,311,0.29,267,1.225
